index	prompt1	prompt2	prompt3	prompt4
4248	A man in a striped shirt and purple tie is talking on a cell phone. He has a bag over his shoulder. In the background, there are bicycles.	Yes.	Male.	Male.
4249	In this image we can see boats on the water, there are plants, trees, and the sky with clouds.	No.	Female.	Female.
4250	In this image we can see chairs and umbrellas on the sand. In the background we can see people, net, water, net, beach, poles, net, net, ball, net, beach, sky, water, net, net	No.	Male.	Male.
4251	In this image there is a beach. In the background there is an ocean. At the bottom there is sand.	No.	Female.	Male.
4252	In this image there are some umbrellas, some pictures, some plants, some mannequins, some dresses, some frames, some books, some lamps, some clothes, some dresses, some chairs, some tables, some objects on the	No.	Female.	Female.
4253	In the image we can see a black color cat is lying on the carpet. In the background there are books, a shelf, a table, a box, a cloth and some other objects.	No.	Female.	Female.
4254	In this image we can see a person wearing a tie. In the background there is a basket.	NO.	Female.	Female.
4255	In this image there is a dog lying on the floor and there is a dog standing on the floor.	No.	Female.	Female.
4256	In this image we can see an elephant standing on the ground. In the background we can see a fence, trees, a vehicle, rocks and the sky.	No.	Female.	Female.
4257	In this image we can see a dog lying on the carpet. There is a shoe on the floor. There is a curtain and a table in the background.	No.	Female.	Female.
4258	This is a black and white image. In the center of the image, we can see a woman is standing and holding a bag. In the background, we can see a group of people, buildings, poles, banners, and some other objects.	Yes.	Female.	Female.
4259	In this image we can see a cart with luggage on it. There are some luggage bags on the cart. There are some wooden poles. There are some trees in the background.	No.	Female.	Female.
4260	In this image we can see a few people are standing on the floor. We can also see a few bags and a trolley. We can also see a few cars and a few boards. We can also see the ceiling with the lights.	No.	Male.	Male.
4261	In this image there are many bags in the middle.	No.	Female.	Female.
4262	In the foreground of the image, there are bags, a basket, a teddy bear, a tin, a green color object, a metal bucket, a plastic cover, a plastic cover, a plastic cover, a plastic cover, a plastic cover,	No.	Female.	Male.
4263	In the foreground of the image there is a dog on a sofa. In the background there is a pillow.	No.	Female.	Female.
4264	A dog is sitting in a window.	No.	Female.	Female.
4265	In this image there is a man who is wearing a blue t-shirt and black shorts. He is holding a white object in his hand. In the background there is an ocean.	No.	Male.	Male.
4266	In this image we can see a laptop on a table, on the table there is a remote, a television, a book, a remote control, a cat, a couch and a pillow.	No.	Male.	Male.
4267	In this image there are two zebras. They are both grazing on the muddy ground.	No.	Female.	Female.
4268	In this image there are people sitting on the benches and there are horses. In the background there are trees and there is a building.	Yes.	Female.	Female.
4269	In this image there is a glass window through which we can see fruits and there are cars parked on the road. In the background there is a building and there are trees.	No.	Female.	Female.
4270	In the image we can see there are two fruits and there is a wrapper.	No.	Female.	Female.
4271	In the foreground of the picture there are people skating on the road. In the background there are trees, buildings, traffic lights, poles, traffic cones, vehicles, street lights and the sky.	Yes.	Male.	Male.
4272	In the foreground of the image there is a pan with food and a pot with a drink. In the background there is a stove and a kettle.	No.	Female.	Female.
4273	A skateboarder is performing a trick above a railing. The railing has a graffiti art of holly and berries.	Yes.	Male.	Female.
4274	A person is standing in front of a sign which has the words "EXPERTS ONLY?" on it.	Yes.	Female.	Female.
4275	A skateboarder is performing a trick in front of a colorful ramp.	Yes.	Male.	Male.
4276	In the center of the image there is a food item in a pan.	No.	Female.	Female.
4277	In this image there are vegetables in the front and there are people in the background.	No.	Female.	Female.
4278	In this image there is a person who is wearing a black jacket and a white shirt. There is a person who is wearing a black jacket and a white shirt. There is a person who is wearing a black jacket and a white shirt. There is	Yes.	Female.	Male.
4279	A child is skateboarding down a city street.	NO.	Female.	Female.
4280	A man is eating a sandwich in a stadium.	Yes.	Male.	Male.
4281	In this image we can see a table with some food items on it and some goggles on the table.	No.	Female.	Female.
4282	In this image there are two pizza slices on a plate, there is a glass of wine, a glass of wine, a glass of soda, a fork, a knife, a spoon, a plate, a fork, a knife, a glass of	No.	Female.	Male.
4283	In this image we can see a table with a plate of pizza, knife and a glass. In the background we can see a group of people sitting on chairs, a table with bottles, a clock, a wall with a photo frame, a clock	No.	Female.	Female.
4284	In the image we can see there are two dogs sleeping on the couch. There is a pillow on the couch. There is a cloth on the couch. There is a pillow on the wall. There is a window blind.	No.	Female.	Female.
4285	A person with a red cap is brushing their teeth.	No.	Female.	Female.
4286	A woman is playing Wii game with her hands in the air.	Yes.	Female.	Female.
4287	A man and a woman are playing a game on a television.	No.	Female.	Female.
4288	In this image there is a woman and a man who are standing and smiling. In the background there is a wall with posters and a door. On the wall there are posters. On the right side of the image there is a bed with a pillow	No.	Female.	Female.
4289	This is a room with a floral wallpaper. There are sofas, chairs and tables. On the table there is a television. On the wall there is a mirror. On the mirror there are flowers.	No.	Female.	Female.
4290	In this image there is a keyboard on a table.	No.	Female.	Female.
4291	A living room with a chair and a person sitting in it.	Yes.	Female.	Female.
4292	A man is standing and holding a phone to his ear. He is wearing a brown shirt. In the background, there is a blue and black wallpaper with multi-colored lines. There is a black vent in the wall.	Yes.	Male.	Male.
4293	In this image there are many people on the beach. At the top there is a kite. At the bottom there is water.	No.	Female.	Female.
4294	In this image there are many people, some are sitting, some are standing, there are many people, some are walking, there are many people, some are holding objects, there are many objects, there are many objects, there are many objects,	Yes.	Female.	Female.
4295	In this image, there are a few people standing on the beach. There are also some kites flying in the air. In the background, there are some houses and vehicles. There is a river and a lake.	No.	Female.	Female.
4296	A person is holding a tennis racket and is looking at the camera.	Yes.	Female.	Female.
4297	In the image there is a clock on the right side of the image, which is of a size and shape, and it is of a white color. On the left side of the image there is a flower vase placed on the table.	No.	Female.	Female.
4298	In this image we can see a flower and a glass bottle on the branch of a tree.	No.	Female.	Female.
4299	A small child is sitting on a bed with a black laptop on her lap.	No.	Female.	Female.
4300	A person is holding a small white electronic device in their hand, with a black and white triangle marking on the side. The device is placed on a wooden table. In the background, there are many papers and plastic plates stacked on top of each other	Yes.	Male.	Male.
4301	In the image we can see there is a man who is holding a mobile phone in his hand. In the background there is a wall, a board, a box and some other objects.	Yes.	Male.	Male.
4302	A man is holding a blue hairdryer in his hand. Behind him, there is a white and brown dog.	No.	Female.	Male.
4303	In this image there are teddy bears sitting on the floor. There are bowls, plates, spoons, and other objects. In the background there are umbrellas, boats, and a tree.	No.	BAR.	Bears.
4304	In this image we can see a door, grass, leaves, plants, trees and the sky.	NO.	Female.	Female.
4305	In this image we can see a man wearing a suit and holding a mobile phone. In the background we can see a mannequin, clothes, lights, racks, a box, a cardboard box and a wall.	Yes.	Male.	Male.
4306	A man holds a cigarette in his right hand while looking at his phone. In the background, there are people sitting at a table and there are televisions and lights.	No.	Male.	Male.
4307	A woman is looking at a poster in front of her.	Yes.	Female.	Female.
4308	In this image there is a street light, there is a building, there is a tree, there is a store, there is a board, there is a clock, there is a sky.	No.	NO.	Female.
4309	In the image there is a yellow tray with a red and white patterned paper on it, on the paper there is a red and white logo which seems to be a brand name. Beside the tray there is a white plate with a few donuts	No.	Female.	Female.
4310	In this image we can see a group of people standing and sitting on the grass. We can also see a group of people standing and sitting on the grass. We can also see a group of people holding toys. We can also see a tent,	Yes.	Female.	Female.
4311	In the image there are two teddy bears on a table, one bear is wearing a red hat and the other bear is wearing a orange dress.	Yes.	BOOKLESS.	ROUND.
4312	A man is sitting at a table, eating breakfast. He is wearing a black t-shirt with some designs on it. He is holding a spoon in his right hand. There are two plates with food on the table. There is a cup with	No.	Male.	Male.
4313	A man is standing in a kitchen, holding a knife and cutting a piece of bread. To his right, there is a box of Nature's Orange Ketchup and a box of Honey Mustard. On the counter to the right, there is	Yes.	Male.	Male.
4314	In the foreground of this image, there are several food items placed on a table. To the left, there is a bowl containing rice. To the right, there is a bowl containing a dark colored soup. In the middle, there is a black	No.	Female.	Female.
4315	A bottle of Jackson Trigs is on a counter in front of a wine glass.	No.	Female.	Female.
4316	A young boy in a red shirt with a white logo is skateboarding. He wears a green cap. In the background, there is a colorful store with decorations and a man in a red shirt with a white logo is standing near the store.	No.	Male.	Male.
4317	In this image we can see a counter top, on the counter top there are some objects, in the background there is a stove, on the stove there are some objects, in the background there is a microwave, on the microwave there is a screen	No.	No one.	No person.
4318	In this image we can see a white color board with many utensils hanging on it.	Yes.	Female.	Male.
4319	A bathroom has two toilets, one in blue and the other in white.	No.	Female.	Female.
4320	The bathroom has a large, white, marble-topped vanity with a sink and mirror above it. To the right, there is a dark window with black shutters.	No.	Female.	Female.
4321	In this image we can see a few bikes parked on the road. There are a few people walking on the road. There are a few trees and buildings in the background. There is a pole in the middle of the image.	No.	Female.	Female.
4322	A bathroom with a sink, towel rack, mirror, and window.	No.	Female.	Female.
4323	This is an indoor picture frame on the wall. Here is a couch. On the right side there is a bed with a bag on it.	No.	Female.	Female.
4324	In this image there is a giraffe in the vehicle.	No.	Female.	Female.
4325	In the image there is a car with its interior partially open, the seats are in the back seat, there are suitcases and a pink suitcase.	No.	Female.	Male.
4326	In this image we can see urinals in a room. We can also see the words written on the wall.	Yes.	Female.	Female.
4327	In a bathroom, a Calico cat is drinking water from the toilet bowl.	No.	Female.	Female.
4328	In this image we can see a toilet seat with a note pasted on it.	No.	Female.	Female.
4329	A church with a clock on the tower.	No.	Female.	Female.
4330	An old white toilet is found in a bathroom, with mold and mildew growing on it.	No.	Male.	UNDERSTANDING  The person(s) in the image are likely male.
4331	In this image there is a bowl with a spoon in it.	No.	Female.	Female.
4332	In this image we can see a person riding a bike on the ground. In the background we can see a ladder, a stand, a bucket, a bag, a stand, a pole and a wall.	Yes.	Male.	Male.
4333	In this image we can see a bench, chairs, tables, a door, a wall, a window, a door, a pole, some objects and a sky.	No.	Male.	Female.
4334	In this image, there are two animals in the image. On the left side, there is a zebra and a giraffe. On the right side, there is a giraffe. In the background, there are rocks, trees, poles, and other objects	No.	Female.	Female.
4335	A man is with a dog on a grass field. There are sheep and dogs in the background.	Yes.	Male.	Male.
4336	In the image there are two giraffes. One is a male and the other is a female. Both are in a zoo. The male giraffe is eating food from the mouth of the female giraffe.	Yes.	Male.	Male.
4337	In this image I can see a bus which is red in color and on the bus I can see the text "EUNOS via 61" and "TECH TITAN" on it. I can also see few people on the	Yes.	Male.	Male.
4338	A man sits on a bench next to a table, holding a baseball bat. In the background, there is a cityscape with trees and buildings.	Yes.	Female.	Male.
4339	In the foreground of the picture there is a bus on the road. In the background there are trees, houses, street lights, fencing, plants, buildings and the sky.	No.	Female.	Male.
4340	In this image we can see a bus on the road. There are trees, buildings, poles, lights, boards, vehicles, and some objects in the background.	No.	Male.	Male.
4341	In this image we can see a bus on the road. In the background we can see a building, trees, plants, a fence, a shed, a vehicle, a board, a banner, a pole, a building, a tree and the	No.	Female.	Female.
4342	In the center of the image there is a bird flying.	No.	Female.	Female.
4343	In the image we can see a duck in the water.	No.	Female.	Male.
4344	In the image there are two giraffes standing on the ground and behind them there is a deer standing on the ground.	No.	Female.	Female.
4345	In this image we can see a bird flying in the sky. In the background we can see a mountain, buildings, trees, grass, and the sky.	No.	Female.	Female.
4346	In this image we can see a person is sitting on a tractor and holding a rod in his hand. He is wearing a hat. In the background we can see the grass, fence, cows and the sky.	Yes.	Male.	Male.
4347	In this image there are cows on the road. In the background there is a sign board and a mountain.	No.	Female.	Female.
4348	In this image there are ducks on the wooden surface. In the background there are steps.	No.	Female.	Female.
4349	In this image there are trains on the tracks. There are trees and grass on the ground. There is a cloudy sky.	No.	Female.	Female.
4350	In this image we can see a few vehicles on the road, there are a few people standing on the road, there are a few trees, a pole with a signal light, a few wires, a few vehicles, a few people, a few	Yes.	Male.	Male.
4351	In this image, there are three vehicles. The vehicle on the left is a truck. The vehicle in the middle is a truck. The vehicle on the right is a truck. In the background, there are two trucks. One of the trucks is	No.	Female.	Female.
4352	In the image there is a cat sitting on top of a table with a glass of wine in front of it.	No.	Female.	Female.
4353	In this image there is a table on which there is a glass and on the glass there is a wine. In the background there is a plant, pillows, a couch and a wall.	No.	Female.	Female.
4354	In this image we can see a cat sitting on a chair. In the background, we can see a table, a chair, a toy, a wall and a few other objects.	No.	Female.	Female.
4355	In this image there are cows and two of them are lying on the ground. In the background there is a wall.	No.	Female.	Female.
4356	In this image we can see a cat on the sofa and a cat on the chair. In the background we can see books, wall, and other objects.	No.	Female.	Female.
4357	A man in a suit is sitting in front of a table with a candle and a candle holder.	IRON.	Male.	Male.
4358	In this image there are boats in the water. In the background there are mountains. At the bottom there are benches. At the top there is sky with clouds.	No.	Female.	Male.
4359	A woman is walking down a sidewalk with an orange umbrella in her back.	Yes.	Female.	Female.
4360	A man is lying down with his eyes closed and wearing sunglasses.	Yes.	Male.	Male.
4361	In this image we can see a person standing on the ground and holding an elephant in the hand. There is a person standing on the ground and holding an elephant in the hand. There is a chair and a table on the ground. There is a	Yes.	Female.	Female.
4362	In this image there is a man standing on the road. He is holding an umbrella. In the background there is water, buildings, trees, hills and the sky.	Yes.	Male.	Male.
4363	A person is riding a skateboard on a road. The dog is on the skateboard.	Yes.	Male.	Male.
4364	In this image we can see a teddy bear, a cake, a box, a saucer, a cup, a spoon and a glass on a table. In the background, we can see a wall, a curtain and a window.	No.	Female.	Female.
4365	In this image there are luggage bags on the ground. There are bags, boxes and other objects. There are vehicles on the ground. There is a road. There is a traffic cone.	No.	Female.	Female.
4366	A person is standing at a table in a room with a luggage bag on it. There are signs on the walls.	Yes.	Female.	Female.
4367	In this image we can see a dog lying on the floor, a dog on the right side, a dog on the left side, a couch, a plant, a table, a wall, a window, a dog statue, a plant, a	No.	Female.	Female.
4368	A man is playing a Frisbee game on a field.	No.	Male.	Male.
4369	A collage of four photos shows a man in white and red shorts throwing a frisbee in a park. He is running in the first photo, then in the second and third photos, he is running in a frisbee patch.	No.	Male.	Male.
4370	In this image, there are two zebras in the middle of the image. There is snow on the ground. There are some bushes and trees in the background.	No.	Female.	Female.
4371	In this image there is a brown horse standing on the ground. In the background there are plants. There is a rope tied to the horse.	No.	Female.	Male.
4372	A baseball player in a red jersey with the number 20 is waiting for the other players to finish. He is wearing a helmet and gloves. He is in a stance where his left hand is extended towards the batter while his right hand is	Yes.	Male.	Male.
4373	In this image there are four people playing baseball.	Yes.	Male.	Male.
4374	In this image we can see a person wearing a baseball uniform and a cap. In the background, we can see the ground, a green color wall and some objects.	No.	Male.	Male.
4375	A baseball game is underway, with a person at a batting cage, wearing a protective helmet and glove. In the background, there is a chain-link fence with people standing behind it, and a house with a small shed.	Yes.	Male.	Male.
4376	A child is riding a skateboard on the street.	Yes.	Female.	Male.
4377	A pizza has broccoli and cheese.	No.	Female.	Female.
4378	In this image there are people standing and posing for a picture. In the background there are trees, hills, sky and clouds.	No.	Female.	Female.
4379	A man and a child are skateboarding together.	Yes.	Male.	Male.
4380	A black and white photograph shows a skateboarder in a skate park, while a shadow of a person is falling to the right of the skateboarder. The skateboarder is on his knees, and the shadow of the person falling is visible	Yes.	Male.	Female.
4381	A red tray holds a hot dog and french fries. One small cup of mustard is on the right of the hot dog.	No.	Female.	Female.
4382	A person is skateboarding on a green skateboard.	Yes.	Male.	Male.
4383	A person is snowboarding on a hill. In the background, there are trees. There is a person skiing.	Yes.	Male.	Male.
4384	In the image there are two people standing and smiling, the person on the right is holding a snowboard and the person on the left is holding a pair of goggles. Behind them there are some trees and the sky is clear.	Yes.	Male.	Male.
4385	In this image we can see a person on the snowboard. The person is in the middle of the image. The person is in the snow. The person is wearing a yellow jacket, helmet, goggles and gloves. The person is in the middle	Yes.	Male.	Male.
4386	In this image we can see people standing on the beach. In the background we can see the ocean, waves, sky and the clouds.	Yes.	Male.	Male.
4387	A young man is windsurfing in the water. He is wearing a black and red jacket and holding onto the sail with both hands.	Yes.	Male.	Male.
4388	In this image we can see a person holding an orange color surfboard and standing on the beach. In the background we can see the water, rocks, trees and the sky.	Yes.	Male.	Man.
4389	In the image we can see there is a person who is surfing on the water. He is wearing a black color dress and a black color towel. He is holding a surfboard. In the background we can see the wind turbines.	Yes.	Female.	Male.
4390	In this image we can see a group of people standing around a table. On the table we can see a cake, bowls, spoons, cups, food items, balloons, a person holding a child, a person holding a camera, a person holding	Yes.	Female.	Female.
4391	In this image there are two women wearing red and blue color jerseys, and a woman wearing a white color jersey is playing soccer. In the background there are other people standing and there are trees.	No.	Female.	Female.
4392	In the foreground of the image, there are three boys sitting on the ground. One boy is wearing blue jersey with number 8 on it. Another boy is wearing number 8 in orange jersey. The third boy is wearing number 4	No.	Male.	Male.
4393	In this image there are three children playing soccer.	Yes.	Female.	Female.
4394	In this image we can see a cake on a plate. In the background there are bottles, flags, a banner, a table, a cover, a plastic cover, a plastic bag, a wall and a few other objects.	No.	Female.	Female.
4395	In this image there are two women who are standing on the water. They are holding paddles. In the background there is water and the sky which looks cloudy.	No.	WOMEN.	WOMEN.
4396	In this image we can see a person surfing on the water.	Yes.	Male.	Male.
4397	In the image there is a plate with a corn on the plate, and to the side of the plate there is a pizza.	No.	Female.	Female.
4398	In this image we can see a plate with food items. On the plate we can see a piece of bread, vegetables, onions, tomatoes, and some other food items.	No, there is no person in this image.	Female.	Female.
4399	A person is playing tennis in a tennis court with HP displayed in the background.	Yes.	Male.	Male.
4400	A man is playing tennis, holding a racket.	Yes.	Male.	Male.
4401	A man is playing tennis, he is wearing a bright yellow shirt, white shorts and white socks. He is holding a racquet. In the background, there are people watching. There is a fence. A ball is in front of the man.	Yes.	Male.	Male.
4402	A plate of pizza with tomato and egg, and some herbs.	No.	Female.	Female.
4403	In this image we can see a food item which is in green color.	No.	Female.	Female.
4404	In the image there is a sofa set in a room with a mirror and a lamp on the right side of the image.	No.	Female.	Female.
4405	In the image there is a desk with a monitor, keyboard, mouse, speakers, photo frame, remote, and a photo frame on it.	Yes.	Male.	Female.
4406	A living room has a tan sectional sofa with two white pillows on it. To the right of the sofa is a white nightstand with a lamp on it.	No.	Female.	Female.
4407	A man is taking a photo in a bathroom. He is wearing a camera and a T-shirt with a logo on it.	Yes.	Male.	Male.
4408	In the image we can see there are two people standing and they are holding wii remotes. In the background there is a wall, door, television and some objects.	Yes.	Male.	Male.
4409	In this image there is a man and a woman who are sitting in front of a window.	No.	Female.	Female.
4410	In an office setting, there is a computer monitor, keyboard, mouse, telephone, and some other electronic devices on a white desk.	No.	Female.	Female.
4411	This image shows a living room with a cozy and inviting atmosphere. The room is well-lit with natural light coming in from large windows that let in plenty of natural light. The room features a large sectional sofa with several cushions, which	No.	Female.	Female.
4412	A baseball player is swinging a bat at a pitch. He is wearing a helmet and white and black uniform.	Yes.	Male.	Male.
4413	In this image there are a few people sitting in the stadium. One person is standing and holding a bat.	Yes.	Female.	Male.
4414	A tennis player is hitting a tennis ball at an opponent.	Yes.	Male.	Male.
4415	A small child is standing in a kitchen. She is wearing an apron and is holding a rolling pin. In front of her on a table is a plate with some food. To the right of the child there is a rolling pin. In the	Yes.	Male.	Boy.
4416	In this image we can see a few people standing on the ground. We can also see a few objects. We can see a few plants and a few flowers. We can also see a few people sitting on chairs. We can also see a few	No.	Female.	Male.
4417	A computer desk with monitors, keyboard, mouse, mouse pad, mouse, headphones, mouse pad, mouse, keyboard, mouse, mouse pad, mouse, mouse, mouse, mouse, mouse, mouse, mouse, mouse, mouse, mouse, mouse	No.	Female.	INSOC.
4418	In the image we can see there is a teddy bear and a plant.	No.	Female.	Female.
4419	In the image there is a teddy bear sitting on a pillow, on the bed there is a pink bed sheet. In the background there is a curtain.	No.	Female.	Female.
4420	In the image we can see a person is holding a mobile phone.	No.	Male.	Male.
4421	A person is holding a phone with a red and blue screen.	Yes.	Female.	Female.
4422	A green vase with rose flowers is on a table. The calendar next to it is named "Gourmet Calendar".	No.	Female.	Female.
4423	A person is in a room with a blue-walled cabinet.	NO.	Female.	Female.
4424	In the image there is a table with a black surface, on the table there is a tray with a cup of coffee, beside the cup there is a pan with a pastry and beside the pan there is a napkin.	No.	Female.	Female.
4425	A kitchen with a stove, oven, garbage can, refrigerator, and cabinets.	No.	Female.	Female.
4426	There is a bathroom with a mirror and a sink.	No.	Female.	Female.
4427	In this image there is a woman standing in front of a mirror. On the right side of the image there is a woman standing in front of a mirror. On the mirror there is a bottle. In the background there is a curtain.	Yes.	Female.	Female.
4428	A man in a black t-shirt with a cap stands to the left of the image with his arms crossed. He is looking at someone or something in front of him. There is a sink with a faucet and a mirror behind him. There are	Yes.	Male.	Male.
4429	A bathroom has a large mirror hanging on the wall, and a sink to the right of the mirror.	No.	Female.	Female.
4430	In this image there is a cat in a white color sink. There is a tap and a bottle on the right side of the image. There is a flower vase on the left side of the image.	No.	Female.	Female.
4431	A person is looking in the mirror and has a stuffed animal on their toilet.	Yes.	Male.	Male.
4432	An ancient stone tool is displayed in a museum.	No.	Female.	Female.
4433	In this image we can see a few people are standing on the road. In the background we can see a building, a board, a light, a few objects, a few people, a few vehicles, a few objects, a few objects,	No.	Male.	Male.
4434	In this image there is a building, and in front of the building there is a tree.	No.	Female.	Female.
4435	A gray cat is sleeping in a black bowl.	No.	Female.	Female.
4436	In this image there is a toilet, beside the toilet there is a plant, beside the plant there is a flower pot, beside the flower pot there is a water bottle, beside the water bottle there is a board, beside the board there are cars	No.	Female.	Female.
4437	In this image we can see a few motorcycles parked on the grass. There are a few people standing in the background. There are a few trees in the background. There is a person sitting on a chair in the background. There are a few other	No.	Female.	Female.
4438	In this image there is a desk with a monitor, keyboard, mouse, laptop, cup, jar, bottle, and other objects on it. In the background there is a building with a clock tower. On the right side of the image there is	No.	Male.	Male.
4439	In the image we can see two giraffes standing on the ground. In the background we can see trees, plants, grass and the sky.	No.	Female.	Female.
4440	A plane has a tarmac and a group of people have entered the plane.	No.	Male.	Male.
4441	In the center of the image there is a giraffe walking on the road. In the background of the image there are trees, plants and grass. At the top of the image there is sky.	No.	Female.	Male.
4442	In this image we can see a store with a sign board and a banner. On the left side of the image there is a pole with a light. On the right side of the image there is a building with a glass door.	No.	Female.	Female.
4443	An outdoor image featuring several high-rise buildings, a street with multiple lanes, and a person walking along the sidewalk. The sky is a deep purple, indicating the sunset or sunrise. The image is captured during the evening or nighttime, as indicated by	No.	Female.	Female.
4444	In this image we can see a path with benches and trees on either side of the path. In the background we can see vehicles, buildings, trees and the sky.	No.	Male.	Male.
4445	Two wooden benches are placed on a wooden deck. They are placed next to a boat.	No.	Female.	Female.
4446	In the foreground of the picture there are two buses. On the left there is a car. On the right there is a man walking. In the center there are people walking. In the background there is a building, a tree, a light pole	No.	Male.	Male.
4447	In this image we can see many sheep grazing on the grass. In the background of the image there are trees.	No.	Female.	Female.
4448	In this image we can see a dog running on the grass, there are some birds on the grass, there are some trees in the background, there are some plants on the ground.	No.	Female.	Female.
4449	In this image we can see a street with buildings, street lights, sign boards, street lamps, name boards, sign boards with text, name boards, name boards with text, name boards with text, name boards with text, name boards with text	No.	Male.	Female.
4450	In the image we can see a train on the railway track. In the background there are trees, poles, sky and clouds.	No.	Female.	Female.
4451	In this image we can see a train on the track. There are plants with flowers. There is a person standing on the platform. There are electric poles with wires. There is a hill. There is a sky.	Yes.	Male.	Male.
4452	In this image we can see trains on the railway tracks. In the background we can see trees, grass, sky and clouds.	No.	Female.	Train.
4453	This image is taken from a high angle, and shows a busy parking lot filled with various vehicles. In the background, there is a large building with a sign that reads "Passport". There are several trucks and vans parked in rows, and	No.	Female.	Female.
4454	In this image we can see a cat lying on the sofa. In the background of the image there is a cloth.	No.	Female.	Female.
4455	In this image we can see a mountain, trees, poles, a truck, a vehicle, a road and the sky with clouds.	No.	Female.	Female.
4456	In this image we can see a cat looking up. In the background there are leaves.	No.	Female.	Female.
4457	In this image we can see two cats on a chair. In the background we can see a table, bottle, glass, wall and a few other objects.	No.	Female.	Female.
4458	In this image we can see a truck, some people walking on the road, some traffic cones, some cars, some trees, some poles, some towers, some clouds in the sky.	No.	Male.	Male.
4459	In this image there are three trucks parked in a shed.	No.	Female.	Female.
4460	In the image we can see there is a boat in the water and there are some people standing and there are some objects in the boat.	Yes.	Male.	Male.
4461	In the image we can see there is a cat sitting on the floor and holding a toy.	No.	Female.	Female.
4462	In the image we can see there is a cat and there is a keyboard and there is a cup and there is a computer and there are some other objects.	No.	Female.	Female.
4463	Stephen Colbert is standing next to an elephant on a table.	No.	Male.	Male.
4464	In this image there are a group of people standing and they are all wearing different costumes.	No.	Female.	Female.
4465	An old photograph of a man has a brown frame around it.	Yes.	Male.	Male.
4466	In this image there are umbrellas, in the background there is water, on the right side there are people, in the background there are trees, on the left side there is a rock.	No.	Female.	Female.
4467	In the image there are people sitting on a boat on the water. In the background there are many boats.	Yes.	Female.	Female.
4468	In the image there is a ship which is in the middle of the image and there is a flag on the ship.	No.	Male.	Male.
4469	This image is taken outdoors. In the background there is a building with glass windows and a signboard with some text on it. There are some trees and plants. On the left side of the image there is a building with a roof. On the	No.	NO.	MAN.
4470	In the image we can see there is a cat and a toy on the floor. In the background there is a chair, a table, a wall, a window, a door and a few other objects.	No.	Female.	Female.
4471	A woman is sitting on a stone surface and holding a black handbag with a floral design.	No.	Female.	Female.
4472	In an airport, there are several people, luggage, and various signs and information. The first sign on the left side of the image is a logo that has the letters "QL" in red. The second sign is a logo that has the	No.	Female.	Female.
4473	In this image there are three persons sitting on the bench. In the background there is a wall with a banner. On the banner there is a text. There is a light on the top.	No.	Female.	Female.
4474	In this image there are plants, flowers, trees, buildings, cars, people, umbrellas, tables, chairs, flowers, trees, sky and clouds.	No.	Female.	Male.
4475	A man in a red shirt with a design on it is throwing a frisbee. A woman in green and black is holding a frisbee.	No.	Female.	Female.
4476	A woman is holding a green frisbee in her right hand. She is wearing black shorts and blue top.	No.	Female.	Female.
4477	In this image there is a man and a woman standing in a wheelchair. In the background there is an ocean.	No.	Male.	Male.
4478	In this image there is a man holding a frisbee in his hand. In the background there are trees.	Yes.	Male.	Male.
4479	In this image we can see two horses grazing in the grass. There is a water body in the middle of the image. There is a fence in the background. There are trees in the background.	No.	Female.	Female.
4480	In this image we can see a few people walking on the ground, there are two horses, a man is holding a whip, there are vehicles, trees, and the sky is cloudy.	No.	Female.	Female.
4481	In this image we can see a horse cart with a cart and a boat on it. In the background we can see the ancient architecture with the trees.	No.	Female.	Female.
4482	In this image there are bananas on the floor.	No.	Female.	Female.
4483	In this image there are fruits in the center of the image.	No.	Female.	Female.
4484	A bowl of fruit salad with pomegranate seeds is on a table.	No.	Female.	Male.
4485	In this image there is a food item which is in orange color and there is a piece of cake which is in orange color.	No.	Female.	Female.
4486	In this image we can see a person sitting on a bike and holding a basket in her hand. In front of her there is a bike. In the background there are many baskets and vegetables.	NO.	Female.	Female.
4487	In this image we can see bananas, flowers, and other objects. On the right side of the image we can see a table and a person standing.	NO.	Female.	Male.
4488	In this image there is a person standing on the snow, there is a person sitting on the snow, there is a tree, there is a bench, there is a building, there is a pole, there is a snowboard, there is a	Yes.	Female.	Male.
4489	A baseball player is walking on the field.	Yes.	Male.	Male.
4490	An apple and a knife sit on a wooden cutting board.	No.	Female.	Female.
4491	In this image we can see a toy holding a skateboard. The background is blurry.	Yes.	Female.	Female.
4492	In this image there is a person standing on the ski slope. He is wearing a black jacket and black pants. He is holding two ski sticks in his hands. In the background there are trees covered with snow. At the top there is the sky	Yes.	Male.	Male.
4493	In this image there are many apples in the trays. There are many people in the image. There are many machines in the image. There are many lights in the image. There are many windows in the image.	No.	Female.	Female.
4494	A boy is performing a skateboard trick.	No.	Male.	Male.
4495	In this image there are stalls, vegetables, vegetables and a person standing. There are cars and a person standing.	Yes.	Male.	Male.
4496	In this image there are people who are skiing. At the top there is a mountain. At the bottom there is snow. At the top there is a sky with clouds.	Yes.	Male.	Male.
4497	A black and white photograph shows a person performing a skateboard trick on a ramp. The individual is wearing a long-sleeved shirt, jeans, and shoes. The skateboard is on a ramp, and the person is holding a skateboard	Yes.	Male.	Male.
4498	In this image there are four persons standing on the road. In the background there are cars, bicycles, a tree and a building.	Yes.	Male.	Male.
4499	A hot dog with a yellow topping and bananas is on a white bun with French fries.	No.	Female.	Female.
