index	prompt1	prompt2	prompt3	prompt4
1249	This image depicts a panoramic view of London, a major city in England. The central focus is the London Bridge, a prominent structure that crosses the River Thames. The bridge is a classic example of Gothic architecture, with its pointed arches and ribbed vault	No.	Female.	Female.
1250	A girl is playing tennis.	Yes.	Female.	Female.
1251	Two women are in the kitchen. One woman is wearing a red apron. They are holding a cake. In the background, there is a person standing.	Yes.	Female.	Female.
1252	A person is playing tennis.	Yes.	Female.	Female.
1253	Four young men are standing in a room, one of them is holding a pizza. In the background, there are books, a shelf with books, a refrigerator, a poster, a wall with a picture and a few other objects.	Yes.	Female.	Female.
1254	Pizza on a paper plate.	No.	Female.	Female.
1255	A person laying down on a wooden floor with a tennis racket in their lap.	Yes.	Female.	Female.
1256	A desk has a laptop and a stuffed animal on it.	No.	Female.	Female.
1257	In this image there are three men who are sitting on chairs. In front of them there is a table on which there are laptops. In the background there is a wall.	Yes.	Male.	Male.
1258	A black and white photograph of Broadway Tacoma.	No.	Male.	Male.
1259	In this image we can see toys placed on a black table. In the background we can see a microwave oven and a white object.	No.	Female.	Female.
1260	In this image we can see a board with some text on it and a building in the background.	No.	Female.	Female.
1261	In this image there is a clock on the street. There are trees and buildings. There are vehicles on the road. There are people walking on the sidewalk. There are poles with wires.	No.	Female.	Female.
1262	In this image we can see a clock on the wall.	No.	NO.	Female.
1263	Two older men are sitting at a table with plates of food. In the background, there is a yellow wall with a picture and a frame on it. On the table, there are plates with food, bowls with food, and a spoon.	No.	Female.	Male.
1264	In the foreground of the picture there is a pole with a clock, sign board, benches, trees, vehicles, sign boards, buildings, people, sign boards, poles, sign boards, sign boards, flag, sign board, sign board, sign	No.	Female.	Male.
1265	In this image there are people standing and there are plants in the background.	Yes.	Female.	Female.
1266	In this image there is a woman standing and holding an umbrella. In the background there are trees and buildings.	No.	Female.	Female.
1267	A restaurant has stainless steel counters and pots on the top.	No.	Female.	Female.
1268	In this image there are two people standing on the snow.	No.	Female.	Female.
1269	A person is flying a kite in the field.	No.	Female.	Male.
1270	A woman is lying on her back on a bed, with a child beside her. The child is wearing pants with black and white patterns. The woman is wearing a white top. The bed has a blanket with a pattern of squares. On the bed	No.	Female.	Female.
1271	In this image we can see a group of people are sitting on the ground. In the background we can see a building, a board with text and a cloudy sky.	Yes.	Female.	Male.
1272	In this image we can see a woman standing in the water. In the background we can see a boat on the water.	No.	Female.	Female.
1273	In the image we can see there is a boat sailing on the water. There is a person sitting on the bicycle. There is a building and trees in the background.	No.	Female.	Male.
1274	A black and white image shows a bathroom with a person sitting on a chair. The room has a door, a toilet, and various items hanging on the wall.	Yes.	Female.	Female.
1275	A toilet sits in the corner of a room with a tiled floor.	No.	Female.	Female.
1276	An urinal is present, on a wall, to the right, there is a trash can.	No.	Female.	Male.
1277	In this image we can see a motorcycle parked on the road. In the background we can see a car, buildings, boards, lights and some other objects.	No.	Female.	Female.
1278	In this image there is a toilet seat with a cat on it. In the background there is a wall with a curtain.	No.	Female.	Female.
1279	In this image we can see a church with a tower and a door. In the background we can see the sky.	No.	Male.	Male.
1280	In this image we can see horses, fence, grass, building, and the sky.	No.	Female.	Female.
1281	In the image we can see there is a cat and there is a bag and there is a wall.	No.	Female.	Female.
1282	In this image we can see a door and a box in the middle.	No.	Female.	Female.
1283	This image shows an airplane cabin viewed from the front. The interior is narrow and dark, with a few people visible in the foreground. The walls of the cabin are lined with metal panels, which are designed to protect passengers from the elements. The ceiling	No.	Male.	Male.
1284	In the image there are two giraffes standing in front of a background of trees and a cloudy sky.	No.	Female.	Female.
1285	In this image we can see a man and a woman riding a bicycle. They are holding the handlebars. There are many bicycles in the image. There are many people standing on the road. There are many trees. There is a traffic signal.	Yes.	Male.	Male.
1286	A traffic sign displays a red light, which is typically used to signal the end of a road. Below the sign, a green traffic light is visible, indicating that the traffic light is currently off. To the right of the traffic light, there is	No.	Female.	Female.
1287	In this image there is a giraffe in the middle. There are people standing on the right side. There are people standing on the left side. There is a tent at the top. There are trees at the top.	No.	Female.	Female.
1288	In the foreground of the picture there is a hydrant. On the hydrant there is a cap. In the center of the picture there is a hole in the road. In the center of the picture there is a board. In the background there	No.	Female.	Female.
1289	In this image there is a woman sitting on a bench. In the background there are trees and plants.	Yes.	Female.	Female.
1290	A park with a hedge and a bench.	No.	Male.	Male.
1291	In this image we can see a hydrant in the snow. In the background there is a house, trees and a shed.	No.	Female.	Female.
1292	In this image we can see a fire hydrant, water, grass, trees, a board, a car, a traffic sign, a pole, a black car, a white board, a truck, a building, a tree and the sky.	No.	Male.	Male.
1293	In this image there are three giraffes standing on a wooden fence. In the background there is a mountain and the sky.	No.	Female.	Female.
1294	In this image there are animals on the ground. There are trees in the background.	No.	Female.	Female.
1295	In this image there are three men standing and talking to each other. In the background there is a fire hydrant and a vehicle. At the top of the image there is the sky.	No.	Male.	Male.
1296	A sunset over a body of water with many birds in the water.	No.	Female.	Female.
1297	In this image there are sheep grazing on the grass. In the background there are trees and water. At the top there is the sky.	No.	Female.	Female.
1298	In the middle of the image, there are four street signs. The signs are blue and white in color. The blue sign is on the left side and the white sign is on the right side.	No.	NO  The person(s) in this image are not present.	NO  The person(s) in this image are not specified.
1299	In this image we can see a group of people standing and taking pictures of the giraffes. In the background we can see the trees, rocks and the sky.	No.	Female.	Male.
1300	In this image we can see a few people are standing on the road. In the background there are buildings, boards, posters, trees, and a few other objects.	No.	Female.	Female.
1301	In this image there is a telephone pole on the left side of the image. On the pole there is a sign board. On the sign board there is a white color sign with a black color border. On the sign board there is a white color	No.	NO.	UNINTENDED.
1302	In the foreground of the picture there is a train engine. In the center of the picture there are tracks. In the background there are trees, buildings, poles, sign boards, grass, sky and clouds.	No.	Female.	Female.
1303	In this image there is a road, sign board, trees, grass, mountains, sky and clouds.	No.	Female.	Female.
1304	A stop sign is shown in the foreground of this image. The sign is red with white text. The sign is tall and has a green horizontal stripe on top. The sign is attached to a building. The building has a roof that looks like it	No.	Female.	Female.
1305	In this image we can see buildings, trees, flags, street lights, street signs, vehicles, people sitting on chairs, tables, flowers, plants, bicycles, a pole with a light, a street and a road.	No.	Male.	Male.
1306	In this image, there are vehicles on the road. There are buildings, trees, traffic lights, traffic signs, traffic cones, traffic lights, traffic cones, traffic cones, traffic cones, traffic cones, traffic cones, traffic cones, traffic cones,	No.	Male.	Male.
1307	In this image we can see a train on the track, there are some people standing on the platform, there are some poles, wires, a clock, a wall, some stones, some grass, some plants, some objects, some hills and the	No.	Female.	Female.
1308	In this image we can see a cat and a bottle.	No.	Female.	Female.
1309	In the image there is a person holding a bottle with a kitten in their hand. The kitten is in the middle of the image and the person is on the left side of the image.	Yes.	Female.	Female.
1310	A man is sitting on a couch with two cats. He is holding a wine glass in his right hand.	No.	Male.	Male.
1311	In this image we can see a cat on a sofa. On the left side of the image we can see a remote and a bag.	No.	Female.	Female.
1312	In this image there is a cow and another cow in the foreground. In the background there is sky.	No.	Female.	Female.
1313	In this image there are people, boats, trees, water, a dog, a bridge, a boat, a person, a dog, a person, water, a boat, a person, a dog, a person, a person, a person	Yes.	Male.	Male.
1314	A black and white cat is sleeping on a table.	No.	Female.	Female.
1315	A man is smiling in front of a plain white background.	Yes.	Male.	Male.
1316	In this image we can see elephants on the river. On the right side of the image we can see trees. In the background we can see the sky.	No.	Female.	Female.
1317	In the image there are three elephants standing on the muddy river bank. Behind the elephants there are some trees and a small house.	No.	Female.	Male.
1318	In the image we can see an elephant standing in the grass.	No.	Male.	Male.
1319	In this image we can see a beach with many people on it. We can also see the beach umbrellas, some people are sitting on the sand, some are lying on the sand, some are holding umbrellas, some are standing,	No.	Female.	Male.
1320	In this image we can see a group of people, some of them are sitting on the motorcycles, some of them are standing, there are umbrellas, some of them are holding umbrellas, there are buildings, trees, poles, and	No.	Female.	Female.
1321	In the image there is a green boat on the water, in the boat there are 4 people sitting and there are 2 people standing.	Yes.	Female.	Female.
1322	In the image there is a car on the road and a suitcase beside the car.	No.	Female.	Female.
1323	A man is holding a large black and silver camera in his right hand. He is walking with a man carrying a small dog. In the background, there are many people watching. There is a trash can and a building.	Yes.	Male.	Male.
1324	In this image there is a bear walking on the ground. There are many plants and trees.	No.	Female.	Female.
1325	In this image there are three bears walking on the rocks.	No.	Female.	Female.
1326	A woman is flying a frisbee in the sand. A man is standing on the shore. There is water in the background. There are trees in the distance. A bird is flying in the sky.	No.	Female.	Female.
1327	A dog is sticking its tongue out from a car window, through a car window.	No.	Female.	Male.
1328	A girl is in the middle of a frisbee game, looking up.	NO.	Female.	Female.
1329	In this image we can see zebras walking in the water. In the background we can see trees, rocks, water, sand, and the sky with clouds.	No.	Zebra.	Female.
1330	In this image there are four people playing frisbee. There are two men and two women.	No.	Female.	Female.
1331	In this image we can see two dogs sitting on the ground. We can also see some plants and grass. In the background we can see the water and the sky.	No.	Male.	Male.
1332	In this image there are zebras on the ground. Behind the zebras there are trees.	No.	Male.	Male.
1333	In this image there are three zebras in the foreground. Behind the zebras there is a tree with leaves.	No.	Female.	Male.
1334	In this image we can see a person riding a horse. In the background there are trees and a fence.	Yes.	Female.	Female.
1335	In this image there is a person standing near the fence. Beside him there is a horse. In the background there are some trees.	No.	Male.	Male.
1336	A young boy is standing in a living room, smiling. Behind him, there is a fireplace with a black mantel, framed pictures, a clock, and a few other objects.	Yes.	Male.	Male.
1337	In this image there is a person wearing blue t-shirt, grey shorts, red socks and black shoes. He is holding a baseball bat. In the background there is a person wearing blue t-shirt, grey shorts, red socks and black shoes	Yes.	Female.	Female.
1338	In this image there is a table on which there are fruits and there are knives.	No.	Female.	Female.
1339	In the image there are bananas and an orange on a cloth.	No.	Female.	Female.
1340	In this image, we can see people standing on the snow. In the background, we can see trees, snow, and the sky.	Yes.	Female.	Female.
1341	In this image there are two people who are skiing. They are wearing black jackets. In the background there are trees. At the top there is the sky.	Skiing.	Female.	Female.
1342	In this image there is a person standing in the snow. In the background there are mountains and sky with clouds.	Yes.	Male.	Male.
1343	A person is skiing in the snow, wearing a blue and green jacket.	Yes.	Female.	Female.
1344	In this image there is a boat on the water, there are two boats on the water, there is a person in the boat, there are trees in the background, there is a flag in the water, there is a sky in the background.	Yes.	Female.	Male.
1345	A person is performing a stunt on a skateboard in the air. They are jumping off a ramp. In the background, there is a blue storage shed.	Yes.	Male.	Male.
1346	In the image there is a blue container with food in it and a spoon beside it.	No.	Female.	Female.
1347	A man is performing a trick on a skateboard in the middle of a skate park.	Yes.	Male.	Male.
1348	In this image there are people skiing on the snow. In the background there is a mountain and the sky is cloudy.	No.	Female.	Female.
1349	In this image we can see a few food items in the bowls.	No.	Female.	Female.
1350	A person is skiing in the snow. In the background, there is a hill covered with snow. In the background, there are rocks and trees.	Yes.	Female.	Male.
1351	In this image there are glasses of wine on the table. Behind the table there are people. In the background there is a wall and a door.	No.	Female.	Female.
1352	In this image there are glasses of wine on a table.	No.	Male.	Male.
1353	A skateboarder is performing a trick on a rail in a skate park. He is wearing a white T-shirt, black pants, and purple skate shoes. In the background, there are several people watching him, including a man in a blue	Yes.	Male.	Male.
1354	A person is sitting at a wooden desk with a brown table and a white chair. They are using a computer with a screen that shows a cityscape. There are two speakers, one on the left and one on the right. There is a cup	Yes.	Female.	Female.
1355	A person is skiing on a snowy slope. In the background, there is a red and white banner with the logo of Wengen.	Yes.	Male.	Jokely.
1356	A woman and a child are posing in skis in the snow. The woman is wearing a blue jacket and a pair of ski goggles. The child is wearing a blue jacket and a pair of ski goggles. They are both holding ski poles. In	No.	Female.	Female.
1357	A boy is performing a trick on a skateboard. He is in mid-air.	Yes.	Male.	Male.
1358	A man and a child are snowboarding together. The man is wearing sunglasses and a hat.	Yes.	Male.	Male.
1359	A person is skiing down a snowy path. They are wearing a green jacket, black pants, and a white hat. They are standing next to a black fence. In the background, there are trees, a hill, and a cloudy sky.	No.	Female.	Female.
1360	A table has a lot of food on it, including ribs, hot dogs, and other food.	Yes.	Male.	Male.
1361	Two bread rolls with scrambled eggs and a green salsa.	No.	Female.	Female.
1362	A plate of food includes a tomato, a cucumber, a few other vegetables, and a few pieces of bread.	No.	Female.	Female.
1363	In the image we can see a person standing on the surfboard and holding a paddle. In the background we can see the water and the sky.	Yes.	Male.	Male.
1364	In the image there is a plate with various donuts on a table.	No.	Female.	Female.
1365	In this image there are a group of people playing a game. In the background there are trees.	Yes.	Male.	Male.
1366	In this image there are two men standing and holding a sword in their hands. In the background there is a wall with some text written on it.	Yes.	Male.	Military.
1367	In this image we can see people on surfboards in the water. In the background we can see the water, buildings, trees, sky and clouds.	Yes.	Male.	Male.
1368	In the image there are four people surfing on a surfboard in the ocean.	Yes.	Men.	Female.
1369	A girl is kneeling on a bed, with a teddy bear on her lap. Behind her, there is a stuffed animal on a bed.	Yes.	Female.	Female.
1370	In a black and white photograph, there are several people gathered around a table covered with a white tablecloth, where a cake is placed. The cake is topped with a few fruits, and there are also some glasses of wine on the table. To	No.	WOMEN.	WOMEN.
1371	A girl is soccer player in red and white jersey with the number 2.	Yes.	Female.	Female.
1372	A black and white photograph captures a young boy standing on a beach, holding a surfboard. The boy is wearing a wetsuit and is carrying a surfboard. The ocean is rough, with large waves crashing against the shore. In the background	Yes.	Male.	Male.
1373	A dimly lit room with a lamp and a bed.	No.	Female.	Female.
1374	A man is lying down with an open mouth. There are cuts and wounds on his face.	Yes.	Male.	Male.
1375	A baby is lying on a bed.	No.	Female.	Female.
1376	The image depicts a serene and comfortable bedroom setting. The room is well-lit, with natural light streaming in from the large windows, creating a bright and inviting atmosphere. The bed is positioned centrally in the room, with its white bedspread neatly folded	NO.	Female.	Female.
1377	A tennis player is hitting a tennis ball with a racquet. In the background, there is a crowd watching.	No.	Female.	Female.
1378	A man is holding a pizza in his hand.	Yes.	Male.	Male.
1379	In this image there is a person holding a plate in his hand. In the background there is a table. On the table there is a pizza.	Yes.	Male.	Male.
1380	A woman is playing tennis, holding a tennis racket in her right hand. She is wearing a red dress and a wrist watch. In the background, there is a banner with the text "Zealandia" on it. There are chairs	Yes.	Female.	Female.
1381	A boy is holding a toothbrush in his hand. In the background, there is a wall with paintings.	Yes.	Female.	Male.
1382	In this image there are two objects which are green in color. On the green color object there is a picture of a man.	MARBLE.	Male.	Male.
1383	Two men are sitting on chairs in front of a table. On the table there are two wii remotes, bottles, a box and a cup. In the background there are cupboards, a sink, a tap and a door.	No.	Male.	Male.
1384	A couple is sitting on a couch reading a book. There is a coffee table with a remote on it. There is a ceiling fan with a fan on it.	No.	Female.	Female.
1385	In this image we can see a sofa, a table, a pillow, a chair, a fireplace, a mirror, a door, a book, a lamp, a book stand, a bookshelf, a mirror, a chair, a window	No.	Female.	Female.
1386	In this image we can see a sofa, a teddy bear, a television, a table, a mirror, a few objects on the table, a few frames on the wall, a few objects hanging on the wall, a clock, a few	No.	Female.	Female.
1387	In this image we can see a person on a rope. In the background we can see the water, the sky and the objects.	Yes.	Female.	WOMEN.
1388	In this image we can see a baseball player standing on the ground and holding a bat. In the background we can see the grass, a person wearing a helmet and a person sitting on the ground.	Yes.	Male.	Male.
1389	In this image there is a baseball player who is wearing number 2 on the back of his uniform. He is holding a bat. There are two other players who are standing on the right side of the image. There are people standing on the left	No.	Male.	Male.
1390	Two children are standing in a grassy field. One of the children is holding a long stick with both hands.	No.	Male.	Male.
1391	A baseball player is about to hit the ball, while an opposing player is watching.	No.	Male.	Male.
1392	A baseball player is in the first batting cage. A boy in a blue jersey and red helmet is playing in the first batting cage.	Yes.	Male.	Male.
1393	A baseball game is underway. There are several people watching the game.	No.	Male.	Male.
1394	Two men are standing in an office, one of them is an army person, and the other one is a businessman.	Yes.	Military.	Military.
1395	A man is holding a baseball bat and is smiling.	MAJOR.	Male.	Male.
1396	A boy is playing baseball in an indoor field.	Yes.	Male.	Male.
1397	In this image we can see a person standing on the ground and holding a bat. In the background we can see a ground with grass and a boundary.	Yes.	Male.	Male.
1398	A tennis player is walking down a tennis court, with one of their tennis shoes on.	Yes.	Female.	Female.
1399	In this image there are a few people standing and a few people sitting. There are a few boards with text on it. There are a few people standing and a few people sitting. There are a few people holding cameras. There are a few people	Yes.	Female.	Female.
1400	A man is playing tennis.	Yes.	Male.	Male.
1401	In this image there are three persons sitting on chairs at a table. On the table there is a plate with food items, a plate with chopsticks, a plate with salad, a plate with a bottle and a bottle. In the background there is	Yes.	Male.	Male.
1402	In this image we can see a person sitting on the chair and holding a mobile phone in his hand. On the table there is a laptop and a mouse.	Yes.	Male.	Male.
1403	In the center of the image there is a table. On the table there are keyboards, laptops and a computer.	No.	Female.	Female.
1404	In this image we can see a teddy bear sitting on the table.	No.	Female.	Female.
1405	A baby is laying on a wicker chair with a teddy bear on its lap.	No.	Female.	Female.
1406	A plate of food has an omelet with orange slices and cherry tomatoes on the side.	No.	Female.	Female.
1407	A woman is working at a desk with several laptops on it.	Yes.	Female.	Female.
1408	A meal is on a black tray with several dishes including some pieces of meat, some greens, some fish, some soy sauce, some soy milk, and some other ingredients.	No.	Female.	Female.
1409	Various types of scissors, clippers, and other office tools are arranged on a light yellow surface.	No.	Female.	Female.
1410	In this image we can see a person standing and holding a microphone in his hand. In the background there is a wall and a curtain.	Yes.	Female.	Female.
1411	In this image we can see a plate with bread, a knife and a glass with juice. In the background we can see a wooden table.	No.	Female.	Female.
1412	A red tray with various breakfast items, including an egg sandwich, toast, sausage, and bacon, and a jar of milk.	No.	Female.	Female.
1413	In this image there is a tray on a table. On the tray there are food items. There is a fork, a knife and a jar.	No.	Female.	Female.
1414	A train is passing by an another train that is red and blue in color.	No.	Male.	Male.
1415	A room has many people sitting on benches and tables, and there are bottles and glasses on the tables.	Yes.	Female.	Female.
1416	A woman is on the ground with a bicycle. She has a white shirt with blue and black designs and a blue collar on it. She has a cat on her head. She is smiling.	No.	Female.	Female.
1417	A woman is standing and smiling with her hand on her hip. She is wearing a black sleeveless top. In the background, there is a shower with two lidded vases on the wall.	Yes.	Female.	Female.
1418	In this picture we can see a mirror, a coffee maker, a bottle, a cup, a towel, a wash basin, a soap dispenser, a switch board, a telephone, a curtain, a mirror, a wall, a towel rack	No.	Male.	Nobody.
1419	An Urinal is missing and there are cracks on the tiles.	No.	Female.	Female.
1420	In this image we can see a black color car, a black color bike, a white color board, a tree, a pole, a building, a sign board, a car, a plant, a road and the background is blurred.	No.	Female.	Female.
1421	In this image there are many people standing on the road. There are many people riding the bikes. There are many people standing on the footpath. There are many people standing on the footpath. There are many people standing on the road. There	Yes.	Male.	Male.
1422	A man is sitting on a motorcycle in front of a bridge. In the background, there is a river, a bridge, some trees, a hill and the sky.	Yes.	Male.	Male.
1423	In a black and white photograph, there are several men on motorcycles, including one standing near the water, and others standing near the shore.	No.	Male.	Male.
1424	A boy is sitting on a motorcycle. He is wearing a red shirt and black shorts. He is holding a bottle in his hand. In the background, there is a car and a building.	Yes.	Male.	Boy.
1425	In this image we can see airplanes on the runway, there are vehicles, there are poles, there are lights, there are clouds in the sky.	No.	Female.	Male.
1426	In this image there is a plane on the runway. There are two persons on the ground. There is snow on the ground. There are poles. There are trees. There is a fence. There are vehicles.	No.	Female.	Male.
1427	In this image we can see two airplanes parked on the ground. There are stairs and a bench. In the background there are trees and the sky.	No.	Female.	Female.
1428	In this image there are two planes on the ground. There are some objects on the ground. There are some objects on the ground. There are some objects on the ground. There are some objects on the ground. There are some objects on the ground	No.	Female.	Female.
1429	In this image there is a plane on the ground. There are vehicles on the ground. There are people standing on the ground. There are vehicles on the ground. There are vehicles on the ground. There are vehicles on the ground. There are vehicles	No.	Female.	Male.
1430	In this image we can see a fence, vehicles, a bus, a building, a poster, a graffiti, a person, a vehicle, a person, a building, a bridge, a person, a vehicle, a person, a person,	No.	Female.	Female.
1431	A bus with the number "509" on the front.	No.	Female.	Female.
1432	In this image there are giraffes standing on the ground. Behind the giraffes there is a fence. In the background there are trees.	No.	Female.	Female.
1433	In this image we can see a bus on the road. There are many lights on the bus. In the background there are buildings. At the top of the image there is the sky.	No.	NO.	Male.
1434	In the center of the image there is a giraffe. In the background of the image there are trees.	No.	Female.	Female.
1435	This is a black and white image. In this image there is a bridge. There are people walking on the street. There are buildings. There is a tree.	No.	Female.	Male.
1436	In this image we can see a person riding a horse and there are many sheep grazing in the field. In the background there are hills and the sky is cloudy.	No.	Female.	Female.
1437	There is a fire pit in the image. There are chairs around the fire pit. There are plants around the fire pit. There are fences in the image.	No.	Female.	Female.
1438	In this image there is a fire hydrant, beside the fire hydrant there is a man walking. Behind the fire hydrant there is a building with windows and doors. On the building there are windows and doors. On the building there is a	No.	Male.	Male.
1439	In this image I can see a group of animals, a person, a fence, trees and the sky.	No.	Female.	Female.
1440	In this image there is a building with a pole and a red umbrella.	No.	Female.	Female.
1441	A yellow bus with colorful letters is on the road and a car is parked beside it.	Yes.	Male.	Female.
1442	In this image we can see a building with some text on it.	No.	Female.	Female.
1443	In this image we can see a street light, a board, a light pole, a wall, a window, a door, a pipe, a light, a board with some text and a picture, a wall, a window, a door,	No.	Female.	Female.
1444	In this image there is a woman holding a transparent umbrella. In the background there are some trees and a pole. There are some construction works.	Yes.	Female.	Female.
1445	A man is standing on a path, with a bird perched on his head.	Yes.	Male.	Male.
1446	In this image we can see a train on the track. In the background we can see trees, plants, grass and the sky.	No.	Female.	Female.
1447	This is a black and white image. In the center of the image there is a train. At the bottom of the image there is a road. In the background of the image there is a bridge. At the top of the image there is the	No.	Female.	Female.
1448	In the foreground of the picture there is a black box and a blue board. In the background there is a wall and a building.	No.	Female.	Female.
1449	A dusty old cellphone lies on a wooden table.	No.	Female.	Female.
1450	A man is sitting on a counter in a kitchen with a black and white cat sitting on his lap.	No.	Cat.	Cat.
1451	In this image there are two animals standing and one of them is touching the other. In the background there is a fence and a wall.	No.	Female.	Female.
1452	A man is holding a cup in his left hand and a cow in his right hand. Behind him, there is a fence and a cow. In the background, there is a field with grass.	No.	Male.	Male.
1453	A beautiful beach with a red boat in the water.	No.	Male.	Male.
1454	In this image we can see a person lying on the elephant. We can also see a person holding a red umbrella. We can see a lion and a giraffe. We can see some flowers. We can also see some tents. We can see the	No.	Female.	Female.
1455	In this image we can see a vehicle on the road, a building, a pole, a wall, a window, a door, a board, a pole, a wall, a building, a tree, a pole, a building, a car	No.	Male.	Male.
1456	A man is wearing a shirt and a tie, with a blurred background.	Yes.	Male.	Male.
1457	In this image there are many people sitting on the grass. Some of them are wearing spectacles. There are umbrellas.	Yes.	Female.	Female.
1458	In this image there is a building outside the building. There is a car parked on the road. There is a tree. There is an umbrella. There is a light.	No.	Female.	Female.
1459	A young woman is holding an umbrella in her arms. She is standing on a sidewalk. In the background, there are trees and a building.	Yes.	Female.	Female.
1460	A man is pictured in an old-fashioned style.	NO.	Female.	Male.
1461	The suitcase shown here is of the KOLLER brand.	No, there is no person in this image.	Female.	Female.
1462	In this image I can see a group of people in a red color boat. The boat is on the water. In the background I can see the trees and the water.	Yes.	Male.	Male.
1463	A person is walking down a wet street with an umbrella.	No.	Male.	Male.
1464	In this image we can see a bear sitting on a rock. In the background we can see water, stones, grass, plants, rocks and the sky.	No.	Female.	Female.
1465	A black and white photo shows a group of people gathered in a room with a money exchange sign on the wall.	Yes.	Male.	Male.
1466	A woman is standing in a waiting area with two suitcases.	Yes.	Female.	Female.
1467	Two men are frisbee throwing in the grass.	No.	Male.	Male.
1468	In this image there are two zebras standing on the ground.	No.	Female.	Female.
1469	In this image there is a dog and a person holding the dog's mouth. In the background there is a table and a cupboard.	No.	Female.	Female.
1470	In this image we can see a dog in the air. In the background of the image there is a tree and the sky.	No.	Female.	Female.
1471	A dog is chasing an orange frisbee.	No.	Female.	Male.
1472	In the image there are two zebras and a baby zebra walking in a grassy area.	No.	Female.	Female.
1473	In this image there is a zebra.	No.	Female.	Female.
1474	A person is throwing a green frisbee in a grassy park. In the background, there are trees and a street light.	Yes.	Male.	Male.
1475	In the center of the image we can see a zebra standing on the ground. In the background of the image we can see the fencing, trees, plants, grass, and the ground.	No.	Female.	Female.
1476	In this image there are two zebras standing on the ground. Behind them there are some plants.	No.	Female.	Female.
1477	In the image there are two zebras standing in the grass. Behind them there are some trees.	No.	Female.	Male.
1478	In this image we can see a few buildings, trees, horses, carriages, and some text.	No.	Female.	Female.
1479	In this image there are two men standing on the snow. Behind them there are mountains covered with snow. In the background there are trees. At the top there is a sky with clouds.	Yes.	Male.	Male.
1480	In this image there is a person wearing a white t-shirt, black pants and black shoes. He is holding a stick in his hands. In the background there are two persons skiing on the snow. In the background there are some ropes and poles	No.	Male.	Male.
1481	In this image we can see a group of people playing basketball on the ground. In the background we can see a building with windows and a pole. On the left side we can see a plant.	No.	Female.	Female.
1482	In the image there is a yellow container containing a variety of food items. The food items include a banana, strawberries, a cupcake, a piece of bread, a piece of cake, a piece of fruit, a piece of cake, a	No.	Female.	Female.
1483	A person is skiing down a slope. They are wearing a black jacket, black pants, and red skis. In the background, there are trees and buildings.	Yes.	Male.	Male.
1484	Broccoli and orange pieces on a blue and white plate.	No.	Female.	Female.
1485	The image shows a plate of food, primarily consisting of rice and various vegetables. The rice appears to be white, and it is topped with a sauce that includes a dark brown sauce, possibly browned beef or a similar type of meat, and some	No.	No one.	Female.
1486	Apples are laying on the grass.	NO.	Female.	Male.
1487	A person is skiing in the snow.	Yes.	Female.	Female.
1488	In this image there are two persons skiing on the snow.	Yes.	Females.	Female.
1489	A group of children are posing for a picture in the snow. They are wearing skis and helmets. In the background, there is a group of people standing, one of them is wearing a pink jacket. There is a building and trees in the	No.	Male.	Male.
1490	A girl is skateboarding on a paved road.	No.	Female.	Female.
1491	In this image we can see a woman wearing a hat and holding a tray with food items. Behind her there is another woman. On the left side there is a wall with a fire extinguisher.	Yes.	Female.	Female.
1492	In the image there are five people surfing on the waves of the ocean.	Yes.	Male.	Male.
1493	A young boy is holding a treat in his hands and wearing a red fire-resistant hat. He is in a kitchen. Behind him is a coffee maker and a blender.	No.	Female.	Male.
1494	A person with a wetsuit is carrying a surfboard.	Yes.	Male.	Male.
1495	In the image there is a white ceramic cup and a white ceramic plate on a table. On the plate there are some red colored berries. Beside the plate there is a white ceramic cup with a floral design on it. Behind the cup there is	No.	Female.	Female.
1496	In this image there is a person surfing in the ocean.	Yes.	Female.	Female.
1497	A woman is sitting at a table with a plate of food and drinks. She is eating a piece of bread and a tomato.	Yes.	Female.	Female.
1498	A little boy with the name TROY on his shirt is eating a sandwich. In the background, there is a table with a yellow plate, a toy truck, a bag, water bottles, and other people.	No.	Male.	Male.
1499	In this image there is a table on which there are laptops, mouse, cup, book, pen and some other objects. In the background there is a wall.	No.	Female.	COPIER.
1500	An almost perfectly straight slice of pizza sits on a white plate, next to a red bottle of Coca-Cola.	No.	Female.	Female.
1501	In this image we can see two men standing on the court. One of them is holding a tennis racket. In the background we can see a person standing on the court.	No.	Male.	Male.
1502	In this image we can see a person's hand holding a remote. In the background we can see a mobile phone and a screen.	No.	Female.	Female.
1503	In this image there are two dolls sitting on the floor. In the background there is a sofa and a white table. On the table there are books. In the background there is a window.	No.	Female.	Female.
1504	A person is playing a game on a Wii console. In the background, there is a couch with pillows and a chair.	No.	WOMEN.	WOMEN.
1505	This image consists of a desk with a keyboard, monitor, mouse, lamp, cup, remote, mobile phone, and other objects.	No.	Male.	Female.
1506	In this image we can see a box on the floor, in the box there is a sticker and some text.	No.	Female.	Female.
1507	In this image there is a person holding a bat and there are people standing on the ground. In the background there are trees and there is a parachute. At the top there is the sky.	No.	Male.	Male.
1508	A baseball player is swinging a bat, wearing a grey uniform with the number 23 on it. He is in the process of hitting a ball. Behind him, there is a brick wall with a Citi logo.	Yes.	Male.	Male.
1509	A young boy is playing baseball, wearing a black helmet and white pants. He is holding a bat and about to hit the ball. In the background, there is a fence and bleachers.	Yes.	Male.	Male.
1510	In this image there are three pizzas in the box.	No.	Female.	Female.
